Designator,Mid X,Mid Y,Layer,Rotation
C217,302.26,267.97,Bottom,90.0
C218,295.40,260.60,Bottom,270.0
C219,250.57,264.67,Bottom,270.0
C220,246.89,262.51,Bottom,270.0
R12,365.25,217.42,Bottom,180.0
R31,183.64,160.02,Bottom,90.0
R41,162.05,91.19,Bottom,0.0
R42,290.83,51.56,Bottom,270.0
R44,306.71,39.75,Bottom,270.0
R45,294.64,50.80,Bottom,270.0
R46,63.50,50.80,Bottom,270.0
R47,59.69,50.80,Bottom,270.0
R58,120.65,21.59,Bottom,180.0
R61,341.63,288.29,Bottom,270.0
R62,337.82,288.29,Bottom,270.0
R63,337.82,279.40,Bottom,90.0
R65,318.77,261.62,Bottom,90.0
R66,316.23,261.62,Bottom,270.0
R67,266.06,256.67,Bottom,90.0
R68,268.61,258.06,Bottom,270.0
R69,171.45,253.62,Bottom,0.0
R70,187.58,249.81,Bottom,270.0
R71,171.45,251.21,Bottom,0.0
R73,180.98,248.16,Bottom,180.0
R74,171.45,248.79,Bottom,180.0
R75,171.45,246.38,Bottom,0.0
R76,171.45,243.97,Bottom,0.0
R77,326.39,255.27,Bottom,0.0
R78,317.37,238.63,Bottom,270.0
R79,282.57,248.16,Bottom,270.0
R80,262.76,233.05,Bottom,180.0
R81,263.14,249.56,Bottom,90.0
R82,206.50,237.87,Bottom,90.0
R83,183.77,254.13,Bottom,180.0
R84,269.24,203.96,Bottom,270.0
R85,259.08,215.90,Bottom,180.0
R86,255.27,212.09,Bottom,90.0
R87,251.46,193.68,Bottom,0.0
R88,246.38,198.12,Bottom,180.0
R89,231.14,201.93,Bottom,90.0
R90,236.22,205.74,Bottom,180.0
R91,236.73,214.88,Bottom,180.0
R92,231.14,207.26,Bottom,270.0
R93,234.70,201.80,Bottom,270.0
R94,152.40,204.85,Bottom,90.0
R95,204.34,207.90,Bottom,270.0
R96,206.63,207.90,Bottom,90.0
R97,208.92,207.90,Bottom,90.0
R99,208.66,188.09,Bottom,270.0
R100,253.87,184.02,Bottom,0.0
R103,180.21,180.47,Bottom,90.0
R104,178.82,175.39,Bottom,270.0
R105,246.38,152.40,Bottom,180.0
R106,251.46,149.86,Bottom,0.0
R108,157.48,136.40,Bottom,270.0
R109,194.95,168.91,Bottom,270.0
